@relation Bank_limited-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.supervised.instance.SMOTE-C0-K8-P500.0-S1-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P30.0

@attribute age numeric
@attribute job {unemployed,services,management,blue-collar,self-employed,technician,entrepreneur,admin.,student,housemaid,retired,unknown}
@attribute marital {married,single,divorced}
@attribute education {primary,secondary,tertiary,unknown}
@attribute balance numeric
@attribute housing {no,yes}
@attribute loan {no,yes}
@attribute contact {cellular,unknown,telephone}
@attribute day numeric
@attribute month {oct,may,apr,jun,feb,aug,jan,jul,nov,sep,mar,dec}
@attribute duration numeric
@attribute campaign numeric
@attribute pdays numeric
@attribute previous numeric
@attribute poutcome {unknown,failure,other,success}
@attribute y {no,yes}

@data
34,blue-collar,single,tertiary,1011,yes,no,unknown,6,may,136,1,-1,0,unknown,no
30.31701,retired,married,tertiary,732.167687,no,no,cellular,13.27972,apr,318.222378,1.066614,-1,0,unknown,yes
37,technician,divorced,secondary,79,no,no,cellular,21,jul,191,1,-1,0,unknown,no
51,services,married,unknown,5801,yes,no,unknown,29,may,147,2,-1,0,unknown,no
42.401064,retired,married,tertiary,60.344202,yes,no,cellular,23.749816,jul,843.478581,4.481896,-1,0,unknown,yes
33.460815,blue-collar,married,secondary,1893.829988,yes,no,cellular,12.484527,may,721.665134,2,-1,0,unknown,yes
60.607499,services,married,secondary,374.190741,no,no,cellular,17.162122,jul,1036.007427,3.860159,-1,0,unknown,yes
53.162391,management,married,secondary,1524.533977,yes,no,cellular,19,may,1011.442992,1,90.560311,0.778585,unknown,yes
43.741709,blue-collar,married,secondary,137.067163,no,no,cellular,15.235968,mar,312.252462,1.912664,-1,0,unknown,yes
33,management,divorced,tertiary,280,no,yes,cellular,18,nov,155,1,-1,0,unknown,no
55,technician,divorced,secondary,61,yes,yes,cellular,25,aug,113,3,-1,0,unknown,no
28,blue-collar,married,secondary,100,yes,yes,unknown,27,may,132,2,-1,0,unknown,no
24.479125,management,married,tertiary,818.378562,no,no,cellular,27,apr,222.04891,2.23471,89.392054,2,unknown,yes
53,admin.,divorced,secondary,0,yes,yes,cellular,30,apr,586,2,-1,0,unknown,no
44.671765,management,married,secondary,0,yes,no,cellular,17.841045,jul,1471.538205,5.741741,50.468568,2.552521,unknown,yes
49,services,married,secondary,47,no,no,unknown,5,may,234,2,-1,0,unknown,no
59,management,married,tertiary,1881,no,no,cellular,19,nov,456,2,-1,0,unknown,no
53,management,married,tertiary,37,no,no,cellular,28,aug,51,9,-1,0,unknown,no
47,blue-collar,married,secondary,1230,yes,no,cellular,30,apr,412,1,169,1,success,yes
43.15103,blue-collar,married,secondary,115.413494,yes,no,cellular,6.415478,jul,1357.389786,1,-1,0,unknown,yes
