@relation 'letter_test_30pct.txt-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.95 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute -0.433width-0.428x-box-0.416onpix-0.398y-box-0.391high... numeric
@attribute -0.506y-bar-0.47x2ybr-0.462xegvy+0.323yegvx+0.301x-bar... numeric
@attribute '-0.544y2bar+0.463x2bar-0.423xybar+0.419x-ege+0.21 x2ybr...' numeric
@attribute 0.492x-bar-0.472xy2br-0.414y2bar+0.319xybar+0.264x-ege... numeric
@attribute -0.574y-ege-0.467yegvx-0.303x-bar-0.269y-bar+0.243y-box... numeric
@attribute '-0.523xybar-0.477xy2br+0.35 y-ege-0.332yegvx-0.257x2ybr...' numeric
@attribute -0.561xy2br+0.423x2bar+0.354yegvx-0.322x-ege+0.289high... numeric
@attribute 0.666x2bar-0.372yegvx+0.345xybar+0.307y2bar-0.206high... numeric
@attribute -0.583x-bar+0.404yegvx-0.334xegvy-0.302high+0.246xybar... numeric
@attribute -0.5y2bar+0.422y-ege+0.409xybar-0.346x-bar-0.267width... numeric
@attribute 0.706xegvy-0.427y-bar-0.248x2ybr+0.228x-box-0.224high... numeric
@attribute 0.558onpix-0.53x-box-0.31y-ege+0.306high+0.234xybar... numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25}

@data
1.990375,3.498215,-0.53746,1.049507,0.957016,-3.015519,-0.197471,1.461763,-1.864878,0.568201,0.285103,0.228451,9
0.010659,2.29741,-0.083356,1.374482,1.182315,-0.244033,-0.032606,-1.240278,-0.539481,0.466065,0.110356,0.08137,0
2.123021,0.879559,0.467953,-1.348712,-0.906958,0.012115,-0.806844,0.229439,0.070841,0.221147,0.871028,0.310416,6
0.457538,0.639786,-0.187336,-3.480225,-0.058929,-0.949137,-0.170985,0.032153,-0.530694,-0.358644,-0.303818,0.236141,2
2.979111,1.392989,1.18498,0.287509,-0.560892,0.332924,-0.370496,0.782259,-0.51696,-0.166775,0.295927,-0.464136,16
-0.992825,0.414042,0.027303,-1.533826,1.070689,0.552193,2.026013,1.360965,-0.037766,-0.78004,0.039916,0.500185,3
1.366088,-0.603609,0.223178,1.06071,0.010274,-0.899781,-1.064917,0.181096,1.417039,-0.22081,-0.519568,0.180835,13
-0.322862,-3.864204,-1.072173,1.128064,1.348893,0.166975,1.731875,0.119866,0.471045,0.911777,-0.733302,0.322281,5
-0.126679,1.087474,3.464435,0.65195,0.192011,-0.548228,1.593501,0.747155,0.5949,-0.542673,0.192919,0.199193,13
2.729908,2.559642,0.120531,1.225572,1.223668,1.115008,-1.564816,-0.758983,0.346352,0.628932,0.170187,-0.558925,0
2.027611,-1.366931,-0.321524,-1.45046,-0.075739,-1.321874,-1.643299,0.539724,0.199724,0.783605,0.21687,0.29699,2
-0.641909,-0.149588,-0.379179,0.526614,0.217713,0.308583,1.285174,0.813156,0.568554,-0.200762,-0.100295,0.459978,3
1.047912,-1.578567,-0.551525,-1.911372,-0.076818,-1.422368,-1.228823,0.812563,0.218611,0.540557,0.115173,-0.005293,2
0.655038,1.625317,-0.039595,-2.727602,3.522165,1.942503,0.180455,-3.031961,0.416221,0.481245,0.811117,0.531474,11
2.142285,1.978956,0.58763,-2.524664,3.272198,2.778924,0.145114,-2.169237,0.888079,0.250934,1.337767,0.410594,11
0.89432,0.96457,3.353112,-0.172159,1.388805,-0.2655,1.203599,1.225436,-0.119908,-0.343573,0.198962,0.007447,13
-3.515984,1.414371,-1.463166,1.041007,0.658765,-0.911781,0.561034,-0.583328,0.480228,-0.294307,0.355728,-0.371105,10
-1.863325,0.115243,-1.191962,-1.302993,-0.816715,-0.607182,0.840647,0.190408,-0.107362,0.832774,1.400119,-1.490365,4
1.202288,-2.046066,2.146798,1.34624,-0.59447,0.31089,-1.350608,-0.985557,-0.369678,-0.532344,0.665833,0.187158,22
-2.222875,-2.359016,1.420293,1.318705,0.397371,1.169669,-1.176025,0.008831,-0.39529,-0.679344,1.226814,-1.156981,22
0.873429,0.460639,0.185047,-0.047595,0.158264,0.020354,0.190508,-0.51758,-0.184228,0.217188,-0.240542,-0.753737,23
