@relation 'letter_test_30pct.txt_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A17-N200-T1.0E-4-weka.filters.unsupervised.attribute.Remove-R11,16'

@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Source_4 numeric
@attribute Source_5 numeric
@attribute Source_6 numeric
@attribute Source_7 numeric
@attribute Source_8 numeric
@attribute Source_9 numeric
@attribute Source_11 numeric
@attribute Source_12 numeric
@attribute Source_13 numeric
@attribute Source_14 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25}

@data
0.074313,0.039696,0.06348,-0.00851,-0.053028,-0.036174,0.030205,-0.026209,-0.007449,0.000567,-0.005641,0.039333,0.014593,-0.007523,9
-0.007386,-0.061021,-0.009808,-0.021148,-0.064827,-0.064632,0.010245,-0.025383,-0.005648,0.022561,-0.061838,0.007376,-0.027744,-0.027504,0
0.031843,0.007136,-0.019217,0.012159,-0.016121,-0.014513,-0.005209,0.009926,-0.019758,-0.014539,0.013289,-0.016243,-0.045305,-0.031529,6
0.030585,0.033157,-0.021815,-0.002099,-0.015687,0.007126,-0.012375,0.015147,-0.060502,-0.022825,-0.028474,-0.014223,-0.015963,-0.016345,2
0.017205,0.006014,0.022651,0.007493,0.001739,0.001983,-0.030749,0.01171,0.001333,-0.014411,-0.024792,-0.00802,-0.01835,-0.01299,16
0.003086,0.029939,-0.015147,0.01997,0.048203,-0.043426,-0.023759,0.015383,-0.003184,-0.025216,-0.039719,0.048729,0.002618,-0.013285,3
0.023562,-0.010876,-0.009841,-0.027971,-0.01234,0.018389,-0.042084,-0.02807,0.052926,0.006369,-0.005981,-0.007986,-0.014619,-0.012616,13
-0.022685,-0.019932,-0.011963,0.011192,0.011606,0.017417,0.043104,-0.027314,0.052844,-0.039303,-0.021544,0.027106,-0.02141,0.023201,5
-0.044203,0.025428,0.052948,0.011181,-0.008121,-0.028553,-0.028477,0.002942,0.022246,-0.049908,0.013315,0.018211,-0.027236,-0.002006,13
-0.005292,-0.01138,-0.007092,-0.04018,-0.020153,-0.042013,0.012089,-0.003084,0.032943,0.021813,-0.009512,-0.052361,-0.005799,-0.031321,0
0.051812,0.035394,-0.027027,0.01368,-0.020129,0.02428,0.015284,-0.022082,0.01141,-0.006997,0.029203,-0.039098,-0.026688,0.000609,2
-0.006035,0.003652,-0.006709,0.003065,0.027128,-0.020634,-0.001962,-0.017693,0.022132,-0.026032,-0.000787,0.03693,-0.001183,-0.004151,3
0.039426,0.03837,-0.030143,0.023595,-0.023166,0.030867,0.008078,-0.023528,0.001435,-0.020422,0.020011,-0.030463,-0.01626,-0.015939,2
-0.043909,0.027801,-0.042566,-0.035855,0.014603,-0.064847,0.069623,0.061452,-0.012242,0.063575,-0.046111,-0.062653,-0.04455,0.000925,11
-0.048852,0.039451,-0.034416,-0.004466,0.041399,-0.073187,0.040126,0.036061,-0.007355,0.080478,-0.056052,-0.072466,-0.068528,0.000359,11
-0.025888,0.035401,0.038316,0.01588,-0.014402,-0.046155,-0.031773,0.0212,0.02236,-0.051423,-0.012279,0.013785,-0.031088,-0.015933,13
-0.029487,-0.005948,0.00662,-0.024704,-0.015269,0.010068,0.024835,0.004066,0.011789,0.021258,-0.0077,0.041078,0.034614,-0.047292,10
-0.003225,0.008855,0.007566,0.072755,0.022059,0.042665,0.05184,0.014656,-0.004499,0.012717,-0.012549,-0.019362,0.046913,-0.051488,4
-0.00553,-0.050871,-0.043188,0.004367,-0.044924,0.022036,-0.050048,0.025269,0.031422,0.012806,-0.04037,0.007244,-0.068431,0.01536,22
-0.034468,-0.037688,-0.074621,0.033131,-0.019225,0.01804,-0.046178,0.055483,0.069729,0.009799,-0.036284,0.018196,0.008498,-0.039293,22
0.00993,-0.031369,-0.010483,-0.007677,-0.013399,-0.005291,-0.00375,0.030339,0.020755,-0.018375,-0.045151,-0.015692,0.022957,-0.031263,23
0.018209,0.037683,-0.032724,0.00326,-0.005117,0.000569,-0.003628,0.002257,-0.005751,0.002154,-0.006302,0.006463,-0.023225,0.029783,20
-0.05119,-0.011312,-0.05622,0.025887,-0.025816,0.0535,-0.029453,-0.013127,0.044162,0.019961,-0.054951,-0.018356,0.001963,0.018726,21
-0.003744,0.006559,-0.02101,0.032095,-0.005101,0.03773,-0.008712,-0.021166,0.059905,-0.021796,-0.012778,-0.013074,-0.017496,0.007653,21
