@relation Bank_training_70pct.txt-weka.filters.unsupervised.attribute.RandomProjection-N11-R1-DGaussian

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute K11 numeric
@attribute y {0,1}

@data
-3.902777,-5.1716,5.466576,1.208003,14.50524,-4.293671,-2.471997,3.026828,-6.174557,2.888822,-5.500805,1
-0.532164,-9.187257,13.36459,0.151976,14.349262,2.392805,0.282513,16.642249,-7.711147,-6.7036,-11.986792,0
-0.631765,0.336874,4.046429,-0.042088,13.603051,-1.073688,-2.288822,0.77469,-5.576084,-1.486989,-5.033162,1
-5.106073,-0.180342,4.529281,-4.511477,24.212064,-5.465214,-6.126041,0.868683,-7.853065,5.175867,-5.07031,0
-0.650865,-9.877304,3.401619,8.622838,4.409807,-6.257769,-10.878491,10.306028,4.403472,-1.763095,-8.579648,0
-1.031076,-6.811675,9.965127,0.326505,11.422581,-4.41117,9.956025,4.495535,-11.513442,10.948519,-9.422094,0
-3.546615,2.842559,4.839337,-5.296012,22.324334,-2.554603,-1.983336,-1.036678,-10.219133,5.84071,-4.527876,1
-4.478619,1.746851,14.256564,-7.431038,26.207171,-6.514009,-0.478035,2.790941,-14.815802,7.197346,-3.689449,0
-2.616144,1.320861,1.880963,-0.64097,11.782866,-1.77736,-0.917674,2.119807,-8.068254,0.996734,-4.213601,0
-0.339598,-0.894706,11.676107,-8.21092,20.221696,-4.436029,3.633727,-1.179307,-17.349619,10.238154,-4.228245,1
2.223073,-8.365451,4.123939,-0.967292,16.627348,-13.232563,-12.784359,10.071987,-3.481503,-4.644171,-7.425379,0
0.392764,-11.448224,7.703034,4.961866,11.742801,-13.034804,-19.012756,8.617256,8.627064,-5.30519,-5.217594,1
3.437274,-6.082737,13.854736,-4.614284,19.974727,3.10071,9.522466,12.511866,-21.801304,-1.207285,-13.597955,1
-0.352518,-2.368843,11.523707,-1.696464,26.013464,-13.735636,-9.880569,5.02427,-6.30892,4.393631,-6.552849,0
-6.646746,1.077172,1.646029,3.466677,16.864994,-4.098832,-4.678777,1.926796,-4.502393,4.359287,-5.886388,0
-0.7995,-1.964292,2.181677,8.859035,2.284741,-5.527473,-3.691485,6.692963,3.842014,-1.209107,-5.746227,0
-4.064029,-4.557861,3.210482,7.429505,11.163905,-6.028748,-14.624079,7.420849,5.092958,-2.626342,-4.983627,0
-0.906069,-5.842307,3.115349,2.34477,5.386715,-2.231358,-4.735287,4.366146,0.355419,-1.873865,-3.909122,1
3.093972,-6.476576,7.585055,1.157604,12.091788,-5.598578,-7.966884,6.69037,-0.958067,-3.119356,-5.961761,1
-0.554664,-0.028308,6.512468,-6.367511,19.69202,-3.579397,2.021382,7.369454,-16.143294,-0.54578,-8.206853,0
-1.201156,0.469785,6.285322,-3.869255,13.665904,-0.1142,3.716456,5.957715,-11.806907,-2.358757,-6.466628,0
4.256627,-7.940107,8.651784,1.267589,17.507691,-11.413649,-14.963572,8.711593,1.365212,-2.952952,-6.142896,0
-4.774598,-1.638266,11.29486,0.215102,27.341311,-6.475951,-8.391606,9.300572,-8.301195,-0.001094,-8.391034,0
2.787195,-14.301363,7.808869,1.694914,13.844317,-7.846553,-7.266719,8.103032,1.519707,-5.308227,-10.116702,1
-2.556888,-0.039626,1.220532,-1.607054,11.657209,-2.267965,0.154236,2.75211,-11.044627,1.204603,-5.675963,0
4.859779,-4.51534,8.281265,-3.697741,22.035142,-4.486701,-4.768704,6.171762,-9.343458,-0.495855,-8.355732,1
-4.495274,-0.840591,6.461462,-0.281662,23.996525,-10.091071,-12.742077,4.420849,-2.354856,0.343237,-4.928809,0
-7.019238,0.837613,8.682234,2.669121,9.251719,6.609804,8.41505,11.819951,-9.149199,-2.327035,-9.58286,0
-1.462703,-4.331466,20.318046,-3.365126,17.324998,-0.299982,17.079177,11.89688,-20.555875,4.418994,-12.911232,0
3.785348,-13.028843,10.506699,6.631296,6.779246,-9.522066,-16.373052,14.305203,8.341381,-8.836806,-6.151663,1
7.428134,-12.068102,8.968339,5.279905,9.023268,-5.169569,-9.48445,12.605511,-0.046325,-6.371198,-8.448993,0
2.366166,-1.283388,14.790374,-5.463401,28.66156,-1.925346,3.581845,10.1034,-17.198386,1.441924,-12.996462,1
2.339154,-5.467373,6.259983,0.128563,15.217282,-0.635632,-3.818616,-2.28858,-4.411025,-6.8169,-9.537194,1
-3.812659,-2.102328,11.36654,1.635249,13.971935,3.533877,4.81094,8.403459,-8.925348,-4.582718,-11.079129,1
-3.65029,-5.593301,10.797187,-1.908032,14.260862,-10.389004,-4.062801,3.235441,-5.167162,5.30832,-2.143612,1
-0.55253,-4.218367,11.868874,-2.438523,14.069317,3.655808,5.085523,7.322125,-11.164476,-3.367654,-9.421744,1
-3.841378,2.685949,1.88319,-2.81326,18.900197,-4.091006,-3.292852,-0.098844,-9.670552,3.316124,-4.61322,0
4.897639,-5.947301,10.675604,3.670474,10.850454,-4.832217,-6.174678,14.621287,-2.39722,-7.778138,-6.972463,0
-1.482147,-5.675838,10.485476,1.516437,9.348186,-1.79907,-2.136645,11.795032,-3.507373,-3.466609,-6.116856,0
-2.657757,-2.840488,2.758478,2.177638,7.334499,1.181747,-0.757964,2.019272,-3.15755,-3.810718,-5.212891,1
1.627335,-6.527355,7.76792,-0.820725,23.218135,-12.295134,-16.155218,4.234407,0.054731,-0.69241,-6.531064,0
-2.541393,1.74276,1.710209,4.326758,4.797471,-0.665613,0.730948,3.348106,-2.150467,0.344542,-3.810015,0
2.25653,-7.722868,9.083316,4.756487,9.673254,-5.579589,-8.829042,10.606453,1.335607,-8.561409,-6.98604,1
-2.90474,-2.874897,13.035429,-3.457964,15.076668,-3.745138,1.725761,2.336833,-11.370319,3.034399,-4.492909,1
-4.072719,1.256432,4.274329,0.585484,8.866215,1.645105,0.946309,4.014696,-6.413112,1.422872,-3.791539,0
6.708777,-11.955076,6.709864,5.097832,3.783034,0.590252,-2.714193,11.324772,-2.658051,-6.677139,-8.653251,1
-4.747989,-4.931308,9.813126,8.412349,17.12822,-9.616576,-8.763697,12.784465,0.196729,-0.782186,-10.678271,0
-3.526106,1.189142,15.594683,-5.919008,14.007078,-4.660231,7.124137,5.587558,-12.62006,6.221973,-2.614516,0
-0.14508,-4.985632,6.926682,2.511137,5.278218,-1.760574,-3.010464,8.387062,-1.014208,-2.805868,-4.278654,0
3.684346,-6.552363,1.564663,3.592165,3.31294,-4.725116,-8.122448,4.938278,2.992739,-2.371156,-2.790122,0
-1.078458,-2.533197,8.293042,1.051551,7.985097,1.245392,3.683437,11.970859,-9.889409,-4.330666,-7.103409,0
0.312095,-2.603869,6.495379,-4.960196,17.869554,-3.321221,-2.112088,4.499289,-7.594384,-0.282024,-5.926474,0
1.052548,-5.617399,11.666227,0.766846,29.40944,-8.503341,-11.363643,11.686643,-6.316367,1.509445,-12.96076,0
2.167647,-12.460681,15.458827,-0.924611,13.713146,-2.00381,0.381007,23.138507,-13.159641,-7.053386,-13.173407,0
7.512635,-7.450734,10.209733,4.152559,9.957386,-5.256482,-7.426111,13.421678,-1.174753,-9.194135,-7.5482,0
-3.642872,-4.712286,20.684605,-4.810095,34.500129,-8.661387,-0.134637,17.733518,-13.669713,-0.392466,-16.397867,0
-7.357508,-2.373214,7.310732,4.822057,15.413929,1.118629,4.50908,14.487443,-11.333219,1.369834,-14.071258,0
-3.008071,0.056183,13.520085,-0.883179,12.782676,5.942952,14.714134,16.761637,-19.340332,-2.586201,-12.044689,0
-4.140142,-2.31803,27.082246,-11.672952,29.320443,4.81488,17.119593,17.707935,-30.361248,-0.036895,-14.348097,1
-7.291694,1.448094,8.464519,-3.774164,26.147121,-2.355886,2.73729,4.043325,-15.545486,2.756956,-11.237349,1
-1.613599,-0.593087,5.966056,2.609446,13.035065,0.163713,-1.79044,4.687839,-6.568431,-1.193286,-5.984721,1
0.948285,-5.723272,17.185076,-6.884662,11.138845,-4.386596,5.684512,1.783731,-14.602234,8.250834,-2.550741,1
-0.000366,-4.85761,7.448012,-2.236167,15.149932,-3.263586,-2.35184,6.003976,-8.646514,-0.559384,-7.774622,0
-2.020063,-4.896774,12.781737,2.762071,13.44936,-3.334433,-3.650936,15.869657,-4.41536,-6.584201,-7.467362,0
2.418734,0.894162,3.81536,-0.889488,9.593899,-2.109007,3.581227,6.290456,-9.138018,-1.03476,-6.721181,0
5.018758,-4.310699,3.457111,0.382902,6.144872,-6.262949,-7.687732,4.306495,2.081361,-2.823733,-2.341303,0
-1.164757,-5.846824,16.840319,-3.393248,12.285424,3.821186,9.104306,20.555676,-13.37052,-6.454205,-9.727493,0
-5.953293,-1.244099,9.553473,6.503295,29.131831,-12.406361,-19.930218,10.449026,2.267794,3.010857,-9.560684,0
-4.478505,0.460154,4.756406,0.517352,13.037023,-0.984837,3.0618,4.751418,-9.802064,0.881553,-8.121657,0
-0.905954,-8.495993,2.049388,8.267224,1.553926,-3.319637,-5.021812,5.122817,2.312268,-0.413193,-6.70529,1
-3.125278,-2.126797,10.454901,-2.698437,16.751743,0.480071,1.686456,7.176732,-9.906825,-0.264891,-7.357869,1
2.867826,-7.489526,14.056877,-1.267769,17.702084,-2.48814,-2.449249,11.804465,-7.871126,-5.19126,-10.177424,1
0.025551,-7.901187,12.506572,-4.025791,19.682309,-6.782092,-7.129224,-0.837253,-4.419381,-0.093237,-6.827786,1
-4.91311,-0.695582,10.993835,-2.177028,27.52712,-2.835134,-0.565019,5.21358,-12.84973,5.072883,-11.057955,1
-3.968432,-7.543875,10.260698,4.985485,18.062515,-9.695139,-11.517718,10.593889,0.480338,0.210637,-8.915733,0
-4.54355,-3.340054,6.51025,-3.575696,27.928878,-11.086905,-15.951511,10.243868,-5.449447,-1.093913,-8.833914,0
-2.465129,0.104852,9.034658,2.291045,5.542653,-4.462013,4.880937,3.843726,-5.905709,6.196308,-3.835593,0
0.126529,-0.002575,22.650563,-7.251461,23.491202,10.282904,20.811049,24.232544,-31.665746,-5.479369,-15.751093,0
7.55052,-10.069231,11.04881,1.245116,6.674608,-3.28791,-3.279684,12.181082,-3.167743,-5.409764,-6.496855,1
-5.018924,-4.195089,11.435857,2.099931,25.2617,-9.507772,-11.544247,9.505008,-2.001535,-2.481723,-10.062373,0
4.680828,-6.331141,8.768599,3.276184,6.989654,1.017707,-0.791928,9.020329,-5.18469,-3.629854,-7.367736,1
-6.448012,-3.503924,13.818985,1.877098,23.336706,-4.520948,-5.927652,13.82652,-7.786387,-2.483696,-9.073501,0
-2.242815,-7.680235,3.426664,5.509048,3.595494,5.536923,-0.157266,2.58508,-3.498379,-7.302992,-10.647566,1
2.059707,-6.432632,6.53654,1.942706,16.124945,-10.831236,-16.82952,6.494662,3.752971,-1.595983,-4.379921,0
1.462042,-9.876971,2.328373,2.249425,7.361083,0.468208,3.581157,4.027444,-4.644169,-5.205064,-9.788835,1
-2.815395,-6.283641,13.269858,3.301875,6.225391,1.956124,5.541133,15.28485,-6.014631,-4.408698,-9.806864,0
-5.651296,3.832703,1.539653,-0.374537,20.143682,-6.86842,-0.702776,-2.235121,-8.410375,9.58528,-6.238294,1
1.711282,-5.284909,13.112381,2.339101,14.331115,-3.77062,-3.971049,16.30769,-5.326356,-7.221998,-8.102914,0
-1.549159,-0.994964,12.415971,0.800155,12.36708,8.136345,10.965271,15.716975,-16.831117,-3.583698,-9.585393,0
1.384285,-6.31027,7.252474,0.739963,15.930901,-8.71675,-5.328298,6.955716,-2.053079,1.830302,-7.678255,1
-2.482138,0.382273,1.049778,3.360673,4.671813,-1.156218,1.802858,3.98041,-5.12684,0.55241,-5.272377,0
-0.794396,-2.84284,3.396599,6.096786,7.305478,0.286884,5.02082,8.04296,-8.800042,0.527611,-11.154126,0
-1.031287,-0.655266,12.849597,5.87738,14.962667,5.073268,10.409327,13.674333,-15.321694,0.033292,-14.5346,0
-6.893729,2.409753,3.488782,-0.14299,15.269804,-2.408267,1.631309,3.448163,-9.658273,3.42794,-6.802447,0
